CIVILSTAND,TID,ALDER,INDHOLD
Ugift,2014K3,56 år,12266
Ugift,2014K3,57 år,11501
Ugift,2014K3,58 år,10745
Ugift,2014K3,59 år,10096
Ugift,2014K3,60 år,9335
Ugift,2014K3,61 år,8636
Ugift,2014K3,62 år,7766
Ugift,2014K3,63 år,6916
Ugift,2014K3,64 år,6392
Ugift,2014K3,65 år,5747
Ugift,2014K3,66 år,5444
Ugift,2014K3,67 år,5162
Ugift,2014K3,68 år,4729
Ugift,2014K3,69 år,4154
Ugift,2014K3,70 år,3559
Ugift,2014K3,71 år,3006
Ugift,2014K3,72 år,2561
Ugift,2014K3,73 år,2299
Ugift,2014K3,74 år,2056
Ugift,2014K3,75 år,1970
Ugift,2014K3,76 år,1745
Ugift,2014K3,77 år,1644
Ugift,2014K3,78 år,1508
Ugift,2014K3,79 år,1343
Ugift,2014K3,80 år,1223
Ugift,2014K3,81 år,1153
Ugift,2014K3,82 år,1101
Ugift,2014K3,83 år,979
Ugift,2014K3,84 år,901
Ugift,2014K3,85 år,902
Ugift,2014K3,86 år,742
Ugift,2014K3,87 år,729
Ugift,2014K3,88 år,580
Ugift,2014K3,89 år,541
Ugift,2014K3,90 år,438
Ugift,2014K3,91 år,386
Ugift,2014K3,92 år,331
Ugift,2014K3,93 år,254
Ugift,2014K3,94 år,199
Ugift,2014K3,95 år,142
Ugift,2014K3,96 år,108
Ugift,2014K3,97 år,63
Ugift,2014K3,98 år,53
Ugift,2014K3,99 år,35
Ugift,2014K3,100 år,25
Ugift,2014K3,101 år,21
Ugift,2014K3,102 år,15
Ugift,2014K3,103 år,8
Ugift,2014K3,104 år,6
Ugift,2014K3,105 år,3
Ugift,2014K3,106 år,2
Ugift,2014K3,107 år,0
Ugift,2014K3,108 år,1
Ugift,2014K3,109 år,0
Ugift,2014K3,110 år,0
Ugift,2014K3,111 år,0
Ugift,2014K3,112 år,0
Ugift,2014K3,113 år,0
Ugift,2014K3,114 år,0
Ugift,2014K3,115 år,0
Ugift,2014K3,116 år,0
Ugift,2014K3,117 år,0
Ugift,2014K3,118 år,0
Ugift,2014K3,119 år,0
Ugift,2014K3,120 år,0
Ugift,2014K3,121 år,0
Ugift,2014K3,122 år,0
Ugift,2014K3,123 år,0
Ugift,2014K3,124 år,0
Ugift,2014K3,125 år,0
Ugift,2014K4,I alt,2709113
Ugift,2014K4,0 år,56587
Ugift,2014K4,1 år,57545
Ugift,2014K4,2 år,58806
Ugift,2014K4,3 år,61732
Ugift,2014K4,4 år,64757
Ugift,2014K4,5 år,65119
Ugift,2014K4,6 år,67221
Ugift,2014K4,7 år,65734
Ugift,2014K4,8 år,66756
Ugift,2014K4,9 år,66295
Ugift,2014K4,10 år,66064
Ugift,2014K4,11 år,65808
Ugift,2014K4,12 år,65624
Ugift,2014K4,13 år,67338
Ugift,2014K4,14 år,67972
Ugift,2014K4,15 år,68502
Ugift,2014K4,16 år,68539
Ugift,2014K4,17 år,71500
Ugift,2014K4,18 år,70915
Ugift,2014K4,19 år,75629
Ugift,2014K4,20 år,75019
Ugift,2014K4,21 år,74944
Ugift,2014K4,22 år,74420
Ugift,2014K4,23 år,72128
Ugift,2014K4,24 år,70331
Ugift,2014K4,25 år,66290
Ugift,2014K4,26 år,61474
Ugift,2014K4,27 år,56281
Ugift,2014K4,28 år,52200
Ugift,2014K4,29 år,46773
Ugift,2014K4,30 år,41224
Ugift,2014K4,31 år,37386
Ugift,2014K4,32 år,34636
Ugift,2014K4,33 år,32147
Ugift,2014K4,34 år,31168
Ugift,2014K4,35 år,29081
Ugift,2014K4,36 år,27419
Ugift,2014K4,37 år,25058
Ugift,2014K4,38 år,25079
Ugift,2014K4,39 år,25048
Ugift,2014K4,40 år,22812
Ugift,2014K4,41 år,21926
Ugift,2014K4,42 år,21872
Ugift,2014K4,43 år,20332
Ugift,2014K4,44 år,18616
Ugift,2014K4,45 år,18341
Ugift,2014K4,46 år,18460
Ugift,2014K4,47 år,19579
Ugift,2014K4,48 år,19547
Ugift,2014K4,49 år,18337
Ugift,2014K4,50 år,17511
Ugift,2014K4,51 år,16428
Ugift,2014K4,52 år,15229
Ugift,2014K4,53 år,14174
Ugift,2014K4,54 år,13568
Ugift,2014K4,55 år,12698
Ugift,2014K4,56 år,12237
Ugift,2014K4,57 år,11534
Ugift,2014K4,58 år,10920
Ugift,2014K4,59 år,10214
Ugift,2014K4,60 år,9404
Ugift,2014K4,61 år,8846
Ugift,2014K4,62 år,7885
Ugift,2014K4,63 år,7034
Ugift,2014K4,64 år,6514
Ugift,2014K4,65 år,5828
Ugift,2014K4,66 år,5436
Ugift,2014K4,67 år,5223
Ugift,2014K4,68 år,4857
Ugift,2014K4,69 år,4174
Ugift,2014K4,70 år,3697
Ugift,2014K4,71 år,3053
Ugift,2014K4,72 år,2689
Ugift,2014K4,73 år,2278
Ugift,2014K4,74 år,2110
Ugift,2014K4,75 år,1932
Ugift,2014K4,76 år,1825
Ugift,2014K4,77 år,1623
Ugift,2014K4,78 år,1532
Ugift,2014K4,79 år,1376
Ugift,2014K4,80 år,1217
Ugift,2014K4,81 år,1146
Ugift,2014K4,82 år,1062
Ugift,2014K4,83 år,1025
Ugift,2014K4,84 år,921
Ugift,2014K4,85 år,883
Ugift,2014K4,86 år,734
Ugift,2014K4,87 år,737
Ugift,2014K4,88 år,550
Ugift,2014K4,89 år,531
Ugift,2014K4,90 år,466
Ugift,2014K4,91 år,382
Ugift,2014K4,92 år,319
Ugift,2014K4,93 år,263
Ugift,2014K4,94 år,208
Ugift,2014K4,95 år,131
Ugift,2014K4,96 år,101
Ugift,2014K4,97 år,75
Ugift,2014K4,98 år,52
Ugift,2014K4,99 år,33
Ugift,2014K4,100 år,26
Ugift,2014K4,101 år,18
Ugift,2014K4,102 år,15
Ugift,2014K4,103 år,5
Ugift,2014K4,104 år,7
Ugift,2014K4,105 år,2
Ugift,2014K4,106 år,3
Ugift,2014K4,107 år,0
Ugift,2014K4,108 år,1
Ugift,2014K4,109 år,0
Ugift,2014K4,110 år,0
Ugift,2014K4,111 år,0
Ugift,2014K4,112 år,0
Ugift,2014K4,113 år,0
Ugift,2014K4,114 år,0
Ugift,2014K4,115 år,0
Ugift,2014K4,116 år,0
Ugift,2014K4,117 år,0
Ugift,2014K4,118 år,0
Ugift,2014K4,119 år,0
Ugift,2014K4,120 år,0
Ugift,2014K4,121 år,0
Ugift,2014K4,122 år,0
Ugift,2014K4,123 år,0
Ugift,2014K4,124 år,0
Ugift,2014K4,125 år,0
Ugift,2015K1,I alt,2714540
Ugift,2015K1,0 år,57130
Ugift,2015K1,1 år,56748
Ugift,2015K1,2 år,59134
Ugift,2015K1,3 år,60389
Ugift,2015K1,4 år,64967
Ugift,2015K1,5 år,64546
Ugift,2015K1,6 år,67083
Ugift,2015K1,7 år,66122
Ugift,2015K1,8 år,67053
Ugift,2015K1,9 år,66143
Ugift,2015K1,10 år,66299
Ugift,2015K1,11 år,66211
Ugift,2015K1,12 år,65528
Ugift,2015K1,13 år,66661
Ugift,2015K1,14 år,68633
Ugift,2015K1,15 år,68118
Ugift,2015K1,16 år,68821
Ugift,2015K1,17 år,70296
Ugift,2015K1,18 år,70927
Ugift,2015K1,19 år,74496
Ugift,2015K1,20 år,75802
Ugift,2015K1,21 år,74032
Ugift,2015K1,22 år,74990
Ugift,2015K1,23 år,71891
Ugift,2015K1,24 år,71055
Ugift,2015K1,25 år,66916
Ugift,2015K1,26 år,62355
Ugift,2015K1,27 år,56668
Ugift,2015K1,28 år,52800
Ugift,2015K1,29 år,47614
Ugift,2015K1,30 år,41728
Ugift,2015K1,31 år,37567
Ugift,2015K1,32 år,35080
Ugift,2015K1,33 år,32053
Ugift,2015K1,34 år,31177
Ugift,2015K1,35 år,29244
Ugift,2015K1,36 år,27539
Ugift,2015K1,37 år,25265
Ugift,2015K1,38 år,24634
Ugift,2015K1,39 år,25183
Ugift,2015K1,40 år,22990
Ugift,2015K1,41 år,22033
Ugift,2015K1,42 år,21737
Ugift,2015K1,43 år,20733
Ugift,2015K1,44 år,18795
Ugift,2015K1,45 år,18283
Ugift,2015K1,46 år,18196
Ugift,2015K1,47 år,19119
Ugift,2015K1,48 år,19742
Ugift,2015K1,49 år,18462
Ugift,2015K1,50 år,17676
Ugift,2015K1,51 år,16867
Ugift,2015K1,52 år,15188
Ugift,2015K1,53 år,14395
Ugift,2015K1,54 år,13763
Ugift,2015K1,55 år,12721
Ugift,2015K1,56 år,12333
Ugift,2015K1,57 år,11691
Ugift,2015K1,58 år,10999
Ugift,2015K1,59 år,10449
Ugift,2015K1,60 år,9447
Ugift,2015K1,61 år,8890
Ugift,2015K1,62 år,8076
Ugift,2015K1,63 år,7186
Ugift,2015K1,64 år,6671
Ugift,2015K1,65 år,5865
Ugift,2015K1,66 år,5526
Ugift,2015K1,67 år,5276
Ugift,2015K1,68 år,4889
Ugift,2015K1,69 år,4253
Ugift,2015K1,70 år,3793
Ugift,2015K1,71 år,3188
Ugift,2015K1,72 år,2734
Ugift,2015K1,73 år,2315
Ugift,2015K1,74 år,2146
Ugift,2015K1,75 år,1933
Ugift,2015K1,76 år,1859
Ugift,2015K1,77 år,1625
Ugift,2015K1,78 år,1534
Ugift,2015K1,79 år,1394
Ugift,2015K1,80 år,1224
Ugift,2015K1,81 år,1149
Ugift,2015K1,82 år,1061
Ugift,2015K1,83 år,1011
Ugift,2015K1,84 år,935
Ugift,2015K1,85 år,837
Ugift,2015K1,86 år,774
Ugift,2015K1,87 år,690
Ugift,2015K1,88 år,571
Ugift,2015K1,89 år,537
Ugift,2015K1,90 år,467
Ugift,2015K1,91 år,360
Ugift,2015K1,92 år,300
Ugift,2015K1,93 år,272
Ugift,2015K1,94 år,208
Ugift,2015K1,95 år,127
Ugift,2015K1,96 år,115
Ugift,2015K1,97 år,78
Ugift,2015K1,98 år,47
Ugift,2015K1,99 år,32
Ugift,2015K1,100 år,23
Ugift,2015K1,101 år,17
Ugift,2015K1,102 år,17
Ugift,2015K1,103 år,6
Ugift,2015K1,104 år,6
Ugift,2015K1,105 år,2
Ugift,2015K1,106 år,2
Ugift,2015K1,107 år,1
Ugift,2015K1,108 år,0
Ugift,2015K1,109 år,1
Ugift,2015K1,110 år,0
Ugift,2015K1,111 år,0
Ugift,2015K1,112 år,0
Ugift,2015K1,113 år,0
Ugift,2015K1,114 år,0
Ugift,2015K1,115 år,0
Ugift,2015K1,116 år,0
Ugift,2015K1,117 år,0
Ugift,2015K1,118 år,0
Ugift,2015K1,119 år,0
Ugift,2015K1,120 år,0
Ugift,2015K1,121 år,0
Ugift,2015K1,122 år,0
Ugift,2015K1,123 år,0
Ugift,2015K1,124 år,0
Ugift,2015K1,125 år,0
Ugift,2015K2,I alt,2727425
Ugift,2015K2,0 år,57161
Ugift,2015K2,1 år,56623
Ugift,2015K2,2 år,58663
Ugift,2015K2,3 år,60117
Ugift,2015K2,4 år,63851
Ugift,2015K2,5 år,64915
Ugift,2015K2,6 år,66777
Ugift,2015K2,7 år,66623
Ugift,2015K2,8 år,66883
Ugift,2015K2,9 år,66145
Ugift,2015K2,10 år,66258
Ugift,2015K2,11 år,66740
Ugift,2015K2,12 år,65198
Ugift,2015K2,13 år,66261
Ugift,2015K2,14 år,68494
Ugift,2015K2,15 år,68233
Ugift,2015K2,16 år,68750
Ugift,2015K2,17 år,69776
Ugift,2015K2,18 år,70769
Ugift,2015K2,19 år,73743
Ugift,2015K2,20 år,77362
Ugift,2015K2,21 år,74809
Ugift,2015K2,22 år,75313
Ugift,2015K2,23 år,72904
Ugift,2015K2,24 år,71375
Ugift,2015K2,25 år,68122
Ugift,2015K2,26 år,63238
Ugift,2015K2,27 år,57888
Ugift,2015K2,28 år,53606
Ugift,2015K2,29 år,48666
Ugift,2015K2,30 år,42499
Ugift,2015K2,31 år,38317
Ugift,2015K2,32 år,35351
Ugift,2015K2,33 år,32673
Ugift,2015K2,34 år,30920
Ugift,2015K2,35 år,29635
Ugift,2015K2,36 år,27913
Ugift,2015K2,37 år,25476
Ugift,2015K2,38 år,24655
Ugift,2015K2,39 år,25151
Ugift,2015K2,40 år,23316
Ugift,2015K2,41 år,22141
Ugift,2015K2,42 år,21762
Ugift,2015K2,43 år,21137
Ugift,2015K2,44 år,19193
Ugift,2015K2,45 år,18225
Ugift,2015K2,46 år,18132
Ugift,2015K2,47 år,18666
Ugift,2015K2,48 år,19829
Ugift,2015K2,49 år,18773
Ugift,2015K2,50 år,17747
Ugift,2015K2,51 år,17134
Ugift,2015K2,52 år,15313
Ugift,2015K2,53 år,14726
Ugift,2015K2,54 år,13859
Ugift,2015K2,55 år,12789
Ugift,2015K2,56 år,12370
Ugift,2015K2,57 år,11928
Ugift,2015K2,58 år,11134
Ugift,2015K2,59 år,10441
Ugift,2015K2,60 år,9645
Ugift,2015K2,61 år,8996
Ugift,2015K2,62 år,8286
Ugift,2015K2,63 år,7304
Ugift,2015K2,64 år,6784
Ugift,2015K2,65 år,6035
Ugift,2015K2,66 år,5473
Ugift,2015K2,67 år,5319
Ugift,2015K2,68 år,4968
Ugift,2015K2,69 år,4406
Ugift,2015K2,70 år,3923
Ugift,2015K2,71 år,3290
Ugift,2015K2,72 år,2798
Ugift,2015K2,73 år,2409
Ugift,2015K2,74 år,2123
Ugift,2015K2,75 år,1975
Ugift,2015K2,76 år,1856
Ugift,2015K2,77 år,1630
Ugift,2015K2,78 år,1540
Ugift,2015K2,79 år,1408
Ugift,2015K2,80 år,1215
Ugift,2015K2,81 år,1141
Ugift,2015K2,82 år,1074
Ugift,2015K2,83 år,998
Ugift,2015K2,84 år,905
Ugift,2015K2,85 år,809
Ugift,2015K2,86 år,782
Ugift,2015K2,87 år,690
Ugift,2015K2,88 år,595
Ugift,2015K2,89 år,522
Ugift,2015K2,90 år,446
Ugift,2015K2,91 år,374
Ugift,2015K2,92 år,290
Ugift,2015K2,93 år,270
Ugift,2015K2,94 år,194
Ugift,2015K2,95 år,142
Ugift,2015K2,96 år,108
Ugift,2015K2,97 år,83
Ugift,2015K2,98 år,44
Ugift,2015K2,99 år,33
Ugift,2015K2,100 år,22
Ugift,2015K2,101 år,20
Ugift,2015K2,102 år,16
Ugift,2015K2,103 år,6
Ugift,2015K2,104 år,4
Ugift,2015K2,105 år,2
Ugift,2015K2,106 år,2
Ugift,2015K2,107 år,1
Ugift,2015K2,108 år,0
Ugift,2015K2,109 år,1
Ugift,2015K2,110 år,0
Ugift,2015K2,111 år,0
Ugift,2015K2,112 år,0
Ugift,2015K2,113 år,0
Ugift,2015K2,114 år,0
Ugift,2015K2,115 år,0
Ugift,2015K2,116 år,0
Ugift,2015K2,117 år,0
Ugift,2015K2,118 år,0
Ugift,2015K2,119 år,0
Ugift,2015K2,120 år,0
Ugift,2015K2,121 år,0
Ugift,2015K2,122 år,0
Ugift,2015K2,123 år,0
Ugift,2015K2,124 år,0
Ugift,2015K2,125 år,0
Ugift,2015K3,I alt,2732381
Ugift,2015K3,0 år,57214
Ugift,2015K3,1 år,56710
Ugift,2015K3,2 år,58679
Ugift,2015K3,3 år,59736
Ugift,2015K3,4 år,62949
Ugift,2015K3,5 år,65148
Ugift,2015K3,6 år,66553
Ugift,2015K3,7 år,67087
Ugift,2015K3,8 år,66358
Ugift,2015K3,9 år,66557
Ugift,2015K3,10 år,66576
Ugift,2015K3,11 år,66746
Ugift,2015K3,12 år,65344
Ugift,2015K3,13 år,65895
Ugift,2015K3,14 år,68040
Ugift,2015K3,15 år,68309
Ugift,2015K3,16 år,69221
Ugift,2015K3,17 år,68812
Ugift,2015K3,18 år,71420
Ugift,2015K3,19 år,72593
Ugift,2015K3,20 år,76159
Ugift,2015K3,21 år,75278
Ugift,2015K3,22 år,74857
Ugift,2015K3,23 år,73079
Ugift,2015K3,24 år,71748
Ugift,2015K3,25 år,68444
Ugift,2015K3,26 år,64098
Ugift,2015K3,27 år,58438
Ugift,2015K3,28 år,53998
Ugift,2015K3,29 år,49094
Ugift,2015K3,30 år,43240
Ugift,2015K3,31 år,38754
Ugift,2015K3,32 år,35403
Ugift,2015K3,33 år,32909
Ugift,2015K3,34 år,30780
Ugift,2015K3,35 år,29674
Ugift,2015K3,36 år,27967
Ugift,2015K3,37 år,25928
Ugift,2015K3,38 år,24500
Ugift,2015K3,39 år,24782
Ugift,2015K3,40 år,23807
Ugift,2015K3,41 år,22211
Ugift,2015K3,42 år,21429
Ugift,2015K3,43 år,21417
Ugift,2015K3,44 år,19591
Ugift,2015K3,45 år,18234
Ugift,2015K3,46 år,18066
Ugift,2015K3,47 år,18476
Ugift,2015K3,48 år,19644
Ugift,2015K3,49 år,19010
Ugift,2015K3,50 år,17826
Ugift,2015K3,51 år,17120
Ugift,2015K3,52 år,15851
Ugift,2015K3,53 år,14863
Ugift,2015K3,54 år,13873
Ugift,2015K3,55 år,13102
Ugift,2015K3,56 år,12247
Ugift,2015K3,57 år,12067
Ugift,2015K3,58 år,11295
Ugift,2015K3,59 år,10534
Ugift,2015K3,60 år,9853
Ugift,2015K3,61 år,9113
Ugift,2015K3,62 år,8420
Ugift,2015K3,63 år,7558
Ugift,2015K3,64 år,6738
Ugift,2015K3,65 år,6216
Ugift,2015K3,66 år,5606
Ugift,2015K3,67 år,5297
Ugift,2015K3,68 år,5021
Ugift,2015K3,69 år,4585
Ugift,2015K3,70 år,4009
Ugift,2015K3,71 år,3409
Ugift,2015K3,72 år,2896
Ugift,2015K3,73 år,2439
Ugift,2015K3,74 år,2197
Ugift,2015K3,75 år,1966
Ugift,2015K3,76 år,1881
Ugift,2015K3,77 år,1666
Ugift,2015K3,78 år,1554
Ugift,2015K3,79 år,1405
Ugift,2015K3,80 år,1234
Ugift,2015K3,81 år,1136
Ugift,2015K3,82 år,1078
Ugift,2015K3,83 år,1006
Ugift,2015K3,84 år,888
Ugift,2015K3,85 år,804
Ugift,2015K3,86 år,802
Ugift,2015K3,87 år,656
Ugift,2015K3,88 år,628
Ugift,2015K3,89 år,504
Ugift,2015K3,90 år,456
Ugift,2015K3,91 år,360
Ugift,2015K3,92 år,302
Ugift,2015K3,93 år,267
Ugift,2015K3,94 år,197
Ugift,2015K3,95 år,148
Ugift,2015K3,96 år,107
Ugift,2015K3,97 år,82
Ugift,2015K3,98 år,48
Ugift,2015K3,99 år,34
Ugift,2015K3,100 år,23
Ugift,2015K3,101 år,18
Ugift,2015K3,102 år,15
Ugift,2015K3,103 år,9
Ugift,2015K3,104 år,3
Ugift,2015K3,105 år,2
Ugift,2015K3,106 år,2
Ugift,2015K3,107 år,2
Ugift,2015K3,108 år,0
Ugift,2015K3,109 år,1
Ugift,2015K3,110 år,0
Ugift,2015K3,111 år,0
Ugift,2015K3,112 år,0
Ugift,2015K3,113 år,0
Ugift,2015K3,114 år,0
Ugift,2015K3,115 år,0
Ugift,2015K3,116 år,0
Ugift,2015K3,117 år,0
Ugift,2015K3,118 år,0
Ugift,2015K3,119 år,0
Ugift,2015K3,120 år,0
Ugift,2015K3,121 år,0
Ugift,2015K3,122 år,0
Ugift,2015K3,123 år,0
Ugift,2015K3,124 år,0
Ugift,2015K3,125 år,0
Ugift,2015K4,I alt,2744254
Ugift,2015K4,0 år,57844
Ugift,2015K4,1 år,57247
Ugift,2015K4,2 år,58154
Ugift,2015K4,3 år,59411
Ugift,2015K4,4 år,62262
Ugift,2015K4,5 år,65289
Ugift,2015K4,6 år,65661
Ugift,2015K4,7 år,67769
Ugift,2015K4,8 år,66181
Ugift,2015K4,9 år,67168
Ugift,2015K4,10 år,66693
Ugift,2015K4,11 år,66444
Ugift,2015K4,12 år,66151
Ugift,2015K4,13 år,65958
Ugift,2015K4,14 år,67723
Ugift,2015K4,15 år,68509
Ugift,2015K4,16 år,69056
Ugift,2015K4,17 år,68899
Ugift,2015K4,18 år,72394
Ugift,2015K4,19 år,72468
Ugift,2015K4,20 år,78339
Ugift,2015K4,21 år,76005
Ugift,2015K4,22 år,75659
Ugift,2015K4,23 år,74948
Ugift,2015K4,24 år,71951
Ugift,2015K4,25 år,69337
Ugift,2015K4,26 år,64752
Ugift,2015K4,27 år,59359
Ugift,2015K4,28 år,53848
Ugift,2015K4,29 år,49221
Ugift,2015K4,30 år,43743
Ugift,2015K4,31 år,38929
Ugift,2015K4,32 år,35306
Ugift,2015K4,33 år,32674
Ugift,2015K4,34 år,30542
Ugift,2015K4,35 år,29616
Ugift,2015K4,36 år,27713
Ugift,2015K4,37 år,26198
Ugift,2015K4,38 år,24155
Ugift,2015K4,39 år,24259
Ugift,2015K4,40 år,24173
Ugift,2015K4,41 år,22248
Ugift,2015K4,42 år,21397
Ugift,2015K4,43 år,21366
Ugift,2015K4,44 år,19974
Ugift,2015K4,45 år,18280
Ugift,2015K4,46 år,18066
Ugift,2015K4,47 år,18187
Ugift,2015K4,48 år,19253
Ugift,2015K4,49 år,19209
Ugift,2015K4,50 år,17972
Ugift,2015K4,51 år,17190
Ugift,2015K4,52 år,16148
Ugift,2015K4,53 år,14967
Ugift,2015K4,54 år,13964
Ugift,2015K4,55 år,13316
Ugift,2015K4,56 år,12478
Ugift,2015K4,57 år,12032
Ugift,2015K4,58 år,11344
Ugift,2015K4,59 år,10713
Ugift,2015K4,60 år,9967
Ugift,2015K4,61 år,9189
Ugift,2015K4,62 år,8624
Ugift,2015K4,63 år,7680
Ugift,2015K4,64 år,6879
Ugift,2015K4,65 år,6371
Ugift,2015K4,66 år,5657
Ugift,2015K4,67 år,5303
Ugift,2015K4,68 år,5088
Ugift,2015K4,69 år,4722
Ugift,2015K4,70 år,4038
Ugift,2015K4,71 år,3565
Ugift,2015K4,72 år,2950
Ugift,2015K4,73 år,2552
Ugift,2015K4,74 år,2192
Ugift,2015K4,75 år,2019
Ugift,2015K4,76 år,1835
Ugift,2015K4,77 år,1741
Ugift,2015K4,78 år,1546
Ugift,2015K4,79 år,1433
Ugift,2015K4,80 år,1278
Ugift,2015K4,81 år,1121
Ugift,2015K4,82 år,1072
Ugift,2015K4,83 år,963
Ugift,2015K4,84 år,929
Ugift,2015K4,85 år,822
Ugift,2015K4,86 år,766
Ugift,2015K4,87 år,646
Ugift,2015K4,88 år,637
Ugift,2015K4,89 år,468
Ugift,2015K4,90 år,455
Ugift,2015K4,91 år,386
Ugift,2015K4,92 år,285
Ugift,2015K4,93 år,255
Ugift,2015K4,94 år,206
Ugift,2015K4,95 år,158
Ugift,2015K4,96 år,96
Ugift,2015K4,97 år,82
Ugift,2015K4,98 år,57
Ugift,2015K4,99 år,36
Ugift,2015K4,100 år,22
Ugift,2015K4,101 år,22
Ugift,2015K4,102 år,10
Ugift,2015K4,103 år,10
Ugift,2015K4,104 år,2
Ugift,2015K4,105 år,2
Ugift,2015K4,106 år,1
Ugift,2015K4,107 år,3
Ugift,2015K4,108 år,0
Ugift,2015K4,109 år,1
Ugift,2015K4,110 år,0
Ugift,2015K4,111 år,0
Ugift,2015K4,112 år,0
Ugift,2015K4,113 år,0
Ugift,2015K4,114 år,0
Ugift,2015K4,115 år,0
Ugift,2015K4,116 år,0
Ugift,2015K4,117 år,0
Ugift,2015K4,118 år,0
Ugift,2015K4,119 år,0
Ugift,2015K4,120 år,0
Ugift,2015K4,121 år,0
Ugift,2015K4,122 år,0
Ugift,2015K4,123 år,0
Ugift,2015K4,124 år,0
Ugift,2015K4,125 år,0
Ugift,2016K1,I alt,2753160
Ugift,2016K1,0 år,58605
Ugift,2016K1,1 år,57894
Ugift,2016K1,2 år,57484
Ugift,2016K1,3 år,59803
Ugift,2016K1,4 år,60962
Ugift,2016K1,5 år,65616
Ugift,2016K1,6 år,65147
Ugift,2016K1,7 år,67681
Ugift,2016K1,8 år,66672
Ugift,2016K1,9 år,67509
Ugift,2016K1,10 år,66619
Ugift,2016K1,11 år,66703
Ugift,2016K1,12 år,66593
Ugift,2016K1,13 år,65887
Ugift,2016K1,14 år,67099
Ugift,2016K1,15 år,69127
Ugift,2016K1,16 år,68770
Ugift,2016K1,17 år,69281
Ugift,2016K1,18 år,71061
Ugift,2016K1,19 år,72462
Ugift,2016K1,20 år,76514
Ugift,2016K1,21 år,77571
Ugift,2016K1,22 år,75005
Ugift,2016K1,23 år,75815
Ugift,2016K1,24 år,72015
Ugift,2016K1,25 år,70259
Ugift,2016K1,26 år,65462
Ugift,2016K1,27 år,60420
Ugift,2016K1,28 år,54313
Ugift,2016K1,29 år,50017
Ugift,2016K1,30 år,44508
Ugift,2016K1,31 år,39382
Ugift,2016K1,32 år,35486
Ugift,2016K1,33 år,33191
Ugift,2016K1,34 år,30366
Ugift,2016K1,35 år,29693
Ugift,2016K1,36 år,27921
Ugift,2016K1,37 år,26398
Ugift,2016K1,38 år,24373
Ugift,2016K1,39 år,23841
Ugift,2016K1,40 år,24249
Ugift,2016K1,41 år,22438
Ugift,2016K1,42 år,21500
Ugift,2016K1,43 år,21274
Ugift,2016K1,44 år,20369
Ugift,2016K1,45 år,18495
Ugift,2016K1,46 år,18009
Ugift,2016K1,47 år,17953
Ugift,2016K1,48 år,18804
Ugift,2016K1,49 år,19435
Ugift,2016K1,50 år,18077
Ugift,2016K1,51 år,17386
Ugift,2016K1,52 år,16588
Ugift,2016K1,53 år,14929
Ugift,2016K1,54 år,14155
Ugift,2016K1,55 år,13521
Ugift,2016K1,56 år,12504
Ugift,2016K1,57 år,12130
Ugift,2016K1,58 år,11483
Ugift,2016K1,59 år,10800
Ugift,2016K1,60 år,10188
Ugift,2016K1,61 år,9206
Ugift,2016K1,62 år,8698
Ugift,2016K1,63 år,7860
Ugift,2016K1,64 år,7010
Ugift,2016K1,65 år,6506
Ugift,2016K1,66 år,5716
Ugift,2016K1,67 år,5368
Ugift,2016K1,68 år,5140
Ugift,2016K1,69 år,4769
Ugift,2016K1,70 år,4107
Ugift,2016K1,71 år,3666
Ugift,2016K1,72 år,3091
Ugift,2016K1,73 år,2616
Ugift,2016K1,74 år,2224
Ugift,2016K1,75 år,2043
Ugift,2016K1,76 år,1830
Ugift,2016K1,77 år,1768
Ugift,2016K1,78 år,1546
Ugift,2016K1,79 år,1424
Ugift,2016K1,80 år,1301
Ugift,2016K1,81 år,1112
Ugift,2016K1,82 år,1045
Ugift,2016K1,83 år,984
Ugift,2016K1,84 år,911
Ugift,2016K1,85 år,836
Ugift,2016K1,86 år,738
Ugift,2016K1,87 år,674
Ugift,2016K1,88 år,597
Ugift,2016K1,89 år,491
Ugift,2016K1,90 år,456
Ugift,2016K1,91 år,379
Ugift,2016K1,92 år,288
Ugift,2016K1,93 år,230
Ugift,2016K1,94 år,214
Ugift,2016K1,95 år,160
Ugift,2016K1,96 år,96
Ugift,2016K1,97 år,86
Ugift,2016K1,98 år,64
Ugift,2016K1,99 år,28
Ugift,2016K1,100 år,21
Ugift,2016K1,101 år,17
Ugift,2016K1,102 år,12
Ugift,2016K1,103 år,10
Ugift,2016K1,104 år,4
Ugift,2016K1,105 år,1
Ugift,2016K1,106 år,2
Ugift,2016K1,107 år,2
Ugift,2016K1,108 år,0
Ugift,2016K1,109 år,0
Ugift,2016K1,110 år,1
Ugift,2016K1,111 år,0
Ugift,2016K1,112 år,0
Ugift,2016K1,113 år,0
Ugift,2016K1,114 år,0
Ugift,2016K1,115 år,0
Ugift,2016K1,116 år,0
Ugift,2016K1,117 år,0
Ugift,2016K1,118 år,0
Ugift,2016K1,119 år,0
Ugift,2016K1,120 år,0
Ugift,2016K1,121 år,0
Ugift,2016K1,122 år,0
Ugift,2016K1,123 år,0
Ugift,2016K1,124 år,0
Ugift,2016K1,125 år,0
Ugift,2016K2,I alt,2766337
Ugift,2016K2,0 år,59493
Ugift,2016K2,1 år,58003
Ugift,2016K2,2 år,57279
Ugift,2016K2,3 år,59401
Ugift,2016K2,4 år,60741
Ugift,2016K2,5 år,64462
